T;R
1;0.000000000001
2;0.00000000000102
4;0.00000000000109
7;0.00000000000139
10;0.00000000000193
15;0.00000000000346
20;0.00000000000755
25;0.0000000000187
30;0.0000000000453
40;0.000000000181
50;0.000000000478
60;0.000000000959
70;0.000000001624
80;0.00000000254
90;0.00000000339
100;0.00000000442
150;0.00000001006
200;0.00000001587
250;0.00000002157
273;0.00000002417
293;0.00000002650
300;0.00000002733
