T;R
1;0.00000000001
4;0.00000000001
7;0.00000000001
10;0.0000000000103
15;0.0000000000117
20;0.0000000000168
25;0.0000000000296
30;0.0000000000564
40;0.000000000188
50;0.00000000048
60;0.00000000096
70;0.00000000163
80;0.00000000246
90;0.0000000034
100;0.00000000443
150;0.0000000101
200;0.00000001593
250;0.00000002167
273;0.00000002429
293;0.00000002653
300;0.00000002731
